id,text,sentiment,intent,topic,annotation_status
TXT-0001,Package was sealed properly. Contents were as listed.,Neutral,Complaint,Health,unlabeled
TXT-0002,Amazing quality for the price. Highly recommend to everyone. Loved it!,Positive,Complaint,Entertainment,unlabeled
TXT-0003,I am impressed with the performance. Worth every rupee. Would recommend.,Positive,Complaint,Technology,unlabeled
TXT-0004,Amazing quality for the price. Highly recommend to everyone. Loved it!,Positive,Greeting,Entertainment,unlabeled
TXT-0005,Superb build quality and very easy to set up. Loved it!,Positive,Greeting,Sports,unlabeled
TXT-0006,Great value for money. The product is exactly as described.,Positive,Feedback,Technology,unlabeled
TXT-0007,Received the item in perfect condition. Very satisfied. 5 stars.,Positive,Feedback,Finance,unlabeled
TXT-0008,The app is intuitive and works perfectly without any bugs. Great!,Positive,Complaint,Sports,unlabeled
TXT-0009,The app is intuitive and works perfectly without any bugs. 5 stars.,Positive,Greeting,Health,unlabeled
TXT-0010,Great value for money. The product is exactly as described.,Positive,Complaint,Sports,unlabeled
TXT-0011,Superb build quality and very easy to set up. 5 stars.,Positive,Greeting,Health,unlabeled
TXT-0012,Standard product. Met the basic requirements.,Neutral,Complaint,Technology,unlabeled
TXT-0013,Standard product. Met the basic requirements.,Neutral,Feedback,Technology,unlabeled
TXT-0014,Fast delivery and excellent packaging. Will buy again. Would recommend.,Positive,Feedback,Sports,unlabeled
TXT-0015,The item matches the product description provided.,Neutral,Inquiry,Health,unlabeled
TXT-0016,Poor quality. The stitching came apart within a week. Avoid.,Negative,Complaint,Entertainment,unlabeled
TXT-0017,"It does what it says. Nothing more, nothing less.",Neutral,Greeting,Finance,unlabeled
TXT-0018,Great value for money. The product is exactly as described. Would recommend.,Positive,Feedback,Entertainment,unlabeled
TXT-0019,The app is intuitive and works perfectly without any bugs. Great!,Positive,Inquiry,Technology,unlabeled
TXT-0020,Extremely slow delivery. Took three weeks for a local order. Avoid.,Negative,Complaint,Finance,unlabeled
TXT-0021,The item matches the product description provided.,Neutral,Inquiry,Sports,unlabeled
TXT-0022,The description is misleading. Product is much smaller than shown. Zero stars.,Negative,Feedback,Finance,unlabeled
TXT-0023,Superb build quality and very easy to set up.,Positive,Feedback,Entertainment,unlabeled
TXT-0024,I regret buying this. Total disappointment.,Negative,Feedback,Finance,unlabeled
TXT-0025,Superb build quality and very easy to set up. Would recommend.,Positive,Complaint,Technology,unlabeled
TXT-0026,Customer service was incredibly helpful and resolved my issue quickly. Loved it!,Positive,Request,Entertainment,unlabeled
TXT-0027,Received the item in perfect condition. Very satisfied. Would recommend.,Positive,Greeting,Sports,unlabeled
TXT-0028,Order was processed and shipped on time.,Neutral,Greeting,Technology,unlabeled
TXT-0029,Package was sealed properly. Contents were as listed.,Neutral,Greeting,Health,unlabeled
TXT-0030,The item matches the product description provided.,Neutral,Complaint,Health,unlabeled
TXT-0031,Customer support was rude and unhelpful. Never buying again.,Negative,Complaint,Health,unlabeled
TXT-0032,"It does what it says. Nothing more, nothing less.",Neutral,Greeting,Technology,unlabeled
TXT-0033,Order was processed and shipped on time.,Neutral,Greeting,Entertainment,unlabeled
TXT-0034,Customer service was incredibly helpful and resolved my issue quickly. 5 stars.,Positive,Inquiry,Entertainment,unlabeled
TXT-0035,The product arrived on the expected delivery date.,Neutral,Greeting,Health,unlabeled
TXT-0036,Terrible product. Stopped working after just two days. Very bad.,Negative,Feedback,Health,unlabeled
TXT-0037,The product exceeded my expectations. Absolutely love it! Loved it!,Positive,Greeting,Technology,unlabeled
TXT-0038,Great value for money. The product is exactly as described. Great!,Positive,Greeting,Finance,unlabeled
TXT-0039,Great value for money. The product is exactly as described.,Positive,Inquiry,Health,unlabeled
TXT-0040,Nothing remarkable but no complaints either.,Neutral,Request,Finance,unlabeled
TXT-0041,Standard product. Met the basic requirements.,Neutral,Feedback,Sports,unlabeled
TXT-0042,The item matches the product description provided.,Neutral,Request,Entertainment,unlabeled
TXT-0043,Very disappointed. The item looks nothing like the photos. Zero stars.,Negative,Inquiry,Technology,unlabeled
TXT-0044,Terrible product. Stopped working after just two days. Zero stars.,Negative,Greeting,Finance,unlabeled
TXT-0045,Fast delivery and excellent packaging. Will buy again. Great!,Positive,Inquiry,Technology,unlabeled
TXT-0046,The app is intuitive and works perfectly without any bugs. Great!,Positive,Greeting,Finance,unlabeled
TXT-0047,The description is misleading. Product is much smaller than shown. Zero stars.,Negative,Greeting,Finance,unlabeled
TXT-0048,Nothing remarkable but no complaints either.,Neutral,Greeting,Sports,unlabeled
TXT-0049,Great value for money. The product is exactly as described. Would recommend.,Positive,Inquiry,Technology,unlabeled
TXT-0050,Received the item in perfect condition. Very satisfied. 5 stars.,Positive,Request,Sports,unlabeled
TXT-0051,Terrible product. Stopped working after just two days. Very bad.,Negative,Complaint,Sports,unlabeled
TXT-0052,The item matches the product description provided.,Neutral,Complaint,Finance,unlabeled
TXT-0053,Amazing quality for the price. Highly recommend to everyone.,Positive,Request,Finance,unlabeled
TXT-0054,Customer support was rude and unhelpful. Never buying again. Avoid.,Negative,Request,Finance,unlabeled
TXT-0055,Great value for money. The product is exactly as described.,Positive,Complaint,Technology,unlabeled
TXT-0056,The product is functional and serves its purpose.,Neutral,Complaint,Technology,unlabeled
TXT-0057,Customer service was incredibly helpful and resolved my issue quickly. Would recommend.,Positive,Request,Sports,unlabeled
TXT-0058,Received the item in perfect condition. Very satisfied. Great!,Positive,Inquiry,Sports,unlabeled
TXT-0059,Received the item in perfect condition. Very satisfied. 5 stars.,Positive,Request,Health,unlabeled
TXT-0060,Battery life is horrible. Barely lasts two hours.,Negative,Inquiry,Finance,unlabeled
TXT-0061,Poor quality. The stitching came apart within a week. Very bad.,Negative,Greeting,Entertainment,unlabeled
TXT-0062,The app is intuitive and works perfectly without any bugs. Great!,Positive,Complaint,Entertainment,unlabeled
TXT-0063,Battery life is horrible. Barely lasts two hours. Zero stars.,Negative,Complaint,Entertainment,unlabeled
TXT-0064,Customer service was incredibly helpful and resolved my issue quickly. Great!,Positive,Greeting,Technology,unlabeled
TXT-0065,Standard product. Met the basic requirements.,Neutral,Request,Technology,unlabeled
TXT-0066,Standard product. Met the basic requirements.,Neutral,Greeting,Entertainment,unlabeled
TXT-0067,I am impressed with the performance. Worth every rupee. Great!,Positive,Request,Entertainment,unlabeled
TXT-0068,The product is functional and serves its purpose.,Neutral,Feedback,Health,unlabeled
TXT-0069,The app is intuitive and works perfectly without any bugs. Loved it!,Positive,Feedback,Sports,unlabeled
TXT-0070,Best purchase I have made this year. Truly outstanding. Would recommend.,Positive,Feedback,Technology,unlabeled
TXT-0071,Great value for money. The product is exactly as described.,Positive,Greeting,Technology,unlabeled
TXT-0072,Superb build quality and very easy to set up. Loved it!,Positive,Greeting,Health,unlabeled
TXT-0073,The app is intuitive and works perfectly without any bugs. Great!,Positive,Inquiry,Health,unlabeled
