id,text,sentiment_label,intent_label,topic_label,annotation_status,confidence_score
TXT-0001,Amazing quality for the price. Highly recommend to everyone. Would recommend.,Positive,Request,Technology,annotated,0.9
TXT-0002,Very disappointed. The item looks nothing like the photos.,Negative,Greeting,Technology,annotated,0.9
TXT-0003,Wonderful experience overall. Will definitely order again.,Positive,Inquiry,Finance,annotated,0.9
TXT-0004,Worst purchase ever. Complete waste of money.,Negative,Greeting,Health,annotated,0.91
TXT-0005,Standard product. Met the basic requirements.,Neutral,Request,Finance,annotated,0.9
TXT-0006,Awful smell and bad material. Returned immediately. Very bad.,Negative,Feedback,Technology,annotated,0.87
TXT-0007,Battery life is horrible. Barely lasts two hours. Very bad.,Negative,Request,Technology,annotated,0.82
TXT-0008,Awful smell and bad material. Returned immediately.,Negative,Feedback,Technology,annotated,0.79
TXT-0009,The app is intuitive and works perfectly without any bugs. Great!,Positive,Inquiry,Technology,annotated,0.79
TXT-0010,Works as expected. Average experience.,Neutral,Feedback,Finance,annotated,0.9
TXT-0011,The product arrived on the expected delivery date.,Neutral,Greeting,Health,annotated,0.79
TXT-0012,Fell apart on the first use. Very poor craftsmanship. Zero stars.,Negative,Request,Finance,annotated,0.95
TXT-0013,Received the wrong item and nobody is responding. Zero stars.,Negative,Request,Technology,annotated,0.85
TXT-0014,Worst purchase ever. Complete waste of money. Zero stars.,Negative,Inquiry,Technology,annotated,0.91
TXT-0015,The app is intuitive and works perfectly without any bugs. 5 stars.,Positive,Request,Entertainment,annotated,0.87
TXT-0016,The description is misleading. Product is much smaller than shown. Avoid.,Negative,Inquiry,Health,annotated,0.91
TXT-0017,The item matches the product description provided.,Neutral,Feedback,Health,annotated,0.91
TXT-0018,Package was sealed properly. Contents were as listed.,Neutral,Request,Sports,annotated,0.79
TXT-0019,Do not buy this. It is a scam.,Negative,Feedback,Finance,annotated,0.82
TXT-0020,The description is misleading. Product is much smaller than shown.,Negative,Greeting,Health,annotated,0.79
TXT-0021,Received the wrong item and nobody is responding. Very bad.,Negative,Complaint,Sports,annotated,0.82
TXT-0022,I am impressed with the performance. Worth every rupee. Loved it!,Positive,Feedback,Health,annotated,0.87
TXT-0023,Fast delivery and excellent packaging. Will buy again. Great!,Positive,Feedback,Health,annotated,0.79
TXT-0024,The description is misleading. Product is much smaller than shown.,Negative,Request,Health,annotated,0.93
TXT-0025,Great value for money. The product is exactly as described. Great!,Positive,Greeting,Sports,annotated,0.79
TXT-0026,Best purchase I have made this year. Truly outstanding. Great!,Positive,Request,Health,annotated,0.85
TXT-0027,The product is functional and serves its purpose.,Neutral,Complaint,Finance,annotated,0.93
TXT-0028,Brilliant product! Exactly what I needed.,Positive,Complaint,Finance,annotated,0.95
TXT-0029,Fast delivery and excellent packaging. Will buy again. Loved it!,Positive,Feedback,Sports,annotated,0.79
TXT-0030,I am impressed with the performance. Worth every rupee. Great!,Positive,Inquiry,Sports,annotated,0.9
TXT-0031,The product arrived broken and the return process is a nightmare. Avoid.,Negative,Complaint,Entertainment,annotated,0.95
TXT-0032,"It does what it says. Nothing more, nothing less.",Neutral,Feedback,Sports,annotated,0.87
TXT-0033,The product arrived broken and the return process is a nightmare. Avoid.,Negative,Complaint,Technology,annotated,0.88
TXT-0034,Do not buy this. It is a scam. Zero stars.,Negative,Greeting,Sports,annotated,0.95
TXT-0035,No issues with the order. Standard delivery.,Neutral,Complaint,Health,annotated,0.87
TXT-0036,Received the wrong item and nobody is responding. Avoid.,Negative,Inquiry,Entertainment,annotated,0.95
TXT-0037,Worst purchase ever. Complete waste of money.,Negative,Complaint,Finance,annotated,0.88
TXT-0038,Fell apart on the first use. Very poor craftsmanship. Very bad.,Negative,Inquiry,Sports,annotated,0.95
TXT-0039,Fast delivery and excellent packaging. Will buy again. 5 stars.,Positive,Complaint,Entertainment,annotated,0.79
TXT-0040,Superb build quality and very easy to set up. 5 stars.,Positive,Inquiry,Finance,annotated,0.96
TXT-0041,Works as expected. Average experience.,Neutral,Greeting,Finance,annotated,0.79
TXT-0042,Package was sealed properly. Contents were as listed.,Neutral,Inquiry,Finance,annotated,0.88
TXT-0043,Received the wrong item and nobody is responding.,Negative,Feedback,Entertainment,annotated,0.91
TXT-0044,I regret buying this. Total disappointment. Avoid.,Negative,Greeting,Finance,annotated,0.95
TXT-0045,I regret buying this. Total disappointment. Very bad.,Negative,Feedback,Sports,annotated,0.85
TXT-0046,Received on time. Packaging was intact.,Neutral,Greeting,Sports,annotated,0.95
TXT-0047,Works as expected. Average experience.,Neutral,Greeting,Technology,annotated,0.82
TXT-0048,"It does what it says. Nothing more, nothing less.",Neutral,Complaint,Sports,annotated,0.79
TXT-0049,Delivery was on schedule. No issues with the order.,Neutral,Feedback,Finance,annotated,0.87
TXT-0050,No issues with the order. Standard delivery.,Neutral,Greeting,Finance,annotated,0.87
TXT-0051,Very happy with this purchase. Works like a charm. Loved it!,Positive,Greeting,Technology,annotated,0.82
TXT-0052,Brilliant product! Exactly what I needed. Great!,Positive,Inquiry,Health,annotated,0.87
TXT-0053,Customer support was rude and unhelpful. Never buying again. Zero stars.,Negative,Inquiry,Health,annotated,0.79
TXT-0054,Superb build quality and very easy to set up. 5 stars.,Positive,Feedback,Finance,annotated,0.85
TXT-0055,Wonderful experience overall. Will definitely order again.,Positive,Inquiry,Health,annotated,0.96
TXT-0056,Nothing remarkable but no complaints either.,Neutral,Complaint,Entertainment,annotated,0.87
TXT-0057,"Product is okay. Not great, not bad.",Neutral,Greeting,Entertainment,annotated,0.93
TXT-0058,"It does what it says. Nothing more, nothing less.",Neutral,Greeting,Entertainment,annotated,0.93
